yf_ticker,first,last,years,n_rows
500D.L,2021-11-05,2026-06-01,4.57,1150
500G.L,2010-07-02,2026-06-02,15.92,4017
5ESG.L,2019-03-25,2026-06-02,7.19,1814
5HED.L,2024-05-13,2026-06-01,2.05,517
AAPY.L,2024-10-11,2026-06-02,1.64,413
AASG.L,2011-05-11,2026-06-02,15.06,3801
ACWD.L,2011-05-16,2026-06-02,15.05,3800
ADIY.L,2026-03-30,2026-06-02,0.18,43
ADPT.L,2025-10-13,2026-06-01,0.63,159
AEGG.L,2021-12-07,2026-06-02,4.48,1129
AEMU.L,2021-02-04,2026-06-02,5.32,1342
AGBP.L,2017-11-21,2026-06-02,8.53,2152
AGED.L,2016-09-08,2026-06-02,9.73,2456
AGGB.L,2026-05-20,2026-05-20,0.0,1
AGGG.L,2017-11-21,2026-06-02,8.53,2152
AGGU.L,2017-11-21,2026-06-02,8.53,2152
AGRU.L,2026-05-20,2026-05-20,0.0,1
AIAI.L,2019-06-26,2026-06-02,6.93,1751
AIGA.L,2010-01-04,2026-06-02,16.41,4145
AIGC.L,2010-01-04,2026-06-02,16.41,4145
AIGE.L,2010-01-04,2026-06-02,16.41,4145
AIGG.L,2010-01-04,2026-06-02,16.41,4145
AIGI.L,2010-01-04,2026-06-02,16.41,4145
AIGL.L,2010-01-04,2026-06-02,16.41,4145
AIGO.L,2010-01-04,2026-06-02,16.41,4145
AIGP.L,2010-01-04,2026-06-02,16.41,4145
AIGS.L,2010-01-04,2026-06-02,16.41,4145
AINF.L,2024-12-09,2026-06-02,1.48,371
AIPO.L,2026-03-27,2026-06-02,0.18,44
AIQU.L,2024-09-16,2026-06-02,1.71,431
AIRR.L,2025-08-11,2026-06-02,0.81,202
ALAG.L,2011-05-11,2026-06-02,15.06,3801
ALLW.L,2026-04-08,2026-06-02,0.15,38
ALUM.L,2010-01-04,2026-06-02,16.41,4145
ALYU.L,2026-06-01,2026-06-01,0.0,1
AMAL.L,2020-09-28,2026-06-02,5.68,1432
AMAY.L,2026-03-30,2026-06-02,0.18,43
AMZI.L,2024-10-11,2026-06-02,1.64,413
ANDO.L,2026-03-30,2026-06-02,0.18,43
ANRJ.L,2010-09-28,2026-06-02,15.68,3958
AQWA.L,2021-12-07,2026-06-02,4.48,1128
AREG.L,2023-02-22,2026-06-02,3.27,809
ARIY.L,2026-03-30,2026-06-02,0.18,43
ARKG.L,2024-04-22,2026-06-02,2.11,534
ARKI.L,2024-04-22,2026-06-02,2.11,534
ARKK.L,2024-04-22,2026-06-02,2.11,534
ARKX.L,2025-11-10,2026-06-02,0.56,140
ARMI.L,2026-03-30,2026-06-01,0.17,42
ARMR.L,2024-09-16,2026-06-02,1.71,431
ARMY.L,2025-04-07,2026-06-02,1.15,289
ASDV.L,2013-05-14,2026-06-02,13.05,3297
ASIU.L,2019-02-22,2026-06-01,7.27,1832
ASMY.L,2026-03-30,2026-06-01,0.17,42
ASPY.L,2022-09-07,2026-06-02,3.73,940
AT1.L,2018-06-19,2026-06-02,7.95,2009
AT1D.L,2018-09-25,2026-06-01,7.68,1937
AUAD.L,2017-09-18,2026-06-02,8.7,2197
AUCO.L,2010-01-04,2026-06-02,16.41,4145
AUEG.L,2010-12-21,2026-06-02,15.45,3896
AVEM.L,2025-03-24,2026-06-02,1.19,299
AVGC.L,2024-10-14,2026-06-02,1.63,411
AVGS.L,2024-10-14,2026-06-02,1.63,411
AVGY.L,2025-07-07,2026-06-02,0.9,229
AVUE.L,2026-02-23,2026-06-02,0.27,67
AWEX.L,2026-04-08,2026-06-02,0.15,38
AXEE.L,2024-08-05,2026-06-02,1.82,460
BABY.L,2025-07-07,2026-06-02,0.9,229
BATT.L,2018-01-18,2026-06-02,8.37,2113
BB3M.L,2021-02-17,2026-06-02,5.29,1332
BBCS.L,2022-08-18,2026-06-02,3.79,953
BBEG.L,2019-05-03,2026-06-01,7.08,1784
BBIL.L,2019-07-09,2026-06-02,6.9,1741
